index,node_col_rank,father_node_name,node_name,keyword（主题词）,alias（别名）,abbreviation（缩写）,description（描述）
19,2,消费电子产品,移动电源,移动设备充电、USB接口输电、充电宝、便捷式充电,手机充电宝、移动电池、便携充电器、手提电源、电力银行、无线充电宝,移动电源,移动电源是一种便携式的电源设备，可以通过内置电池、太阳能板等方式进行充电，然后通过USB接口等输出电能，为各种移动设备充电，如智能手机、平板电脑、手持游戏机、数码相机等。它通常具有轻便、易携带的特点，可以为人们提供方便快捷的电力支持。
20,2,消费电子产品,智能穿戴设备,智能手表、智能手环、智能眼镜、智能服装,Wearables，智能手表、智能眼镜、智能手环、智能手套、智能服装,智能穿戴设备,智能穿戴设备是指一种可以佩戴在身上、能够监测用户身体信息或环境信息、并进行数据处理、通讯或者提供特定功能的电子设备。它可以与智能手机、平板电脑等移动设备联动，以提供更加便捷的用户体验。
21,2,电力辅助服务,电网储能,电化学储能、机械储能、热储能,电力储能、储能电站、电池储能、储能系统、能量存储、电网存储,电网储能,电网储能是指将电能储存起来以备不时之需，并在电力系统需要时释放出来的一种技术。它可以平衡电网负荷和电能供给之间的差异，提高电网的可靠性、稳定性和经济性。
22,2,电力辅助服务,企业储能,企业储能、企业能源储备、企业能源管理,企业电力存储、企业能源存储、企业能源管理系统、企业电力平衡、企业电力优化、企业能源存储,企业储能,企业储能是指企业将自有的储能设备应用于其业务或生产过程中，以提高能源利用效率、降低能源成本、改善能源供应可靠性等目的而进行的储能行为。企业储能可以采用多种储能技术，包括电化学储能、机械储能、热储能等。
23,2,电力辅助服务,家庭储能,电池储能系统、超级电容器储能系统、水蓄能储能系统,家庭电池储能系统、家庭能源管理系统、家庭光伏储能、家庭电力平衡、家庭电力优化,家庭储能,家庭储能是指在家庭或小型建筑中使用的储能设备，用于储存自身产生的电能或购买的电能，以备不时之需。家庭储能可以通过太阳能板、风力发电机等再生能源设备产生的电能进行充电，也可以通过电网购买电能进行充电，当家庭用电需求较大时，可以通过家庭储能设备释放储存的电能，以降低购买电能的成本。家庭储能可以提高家庭的能源利用效率，降低能源成本，同时也可以增加家庭对电力中断等突发事件的应对能力。常见的家庭储能设备包括家用电池储能系统、超级电容器储能系统、水蓄能储能系统等。
24,2,电池芯,正极材料（占比45%）,电池正极、钴酸锂、镍氢电池、铅酸电池、镉镍电池、锌空气电池,"钴酸锂：LCO（Lithium Cobalt Oxide）
镍氢电池：NiMH（Nickel-Metal Hydride）
铅酸电池：Pb-Acid（Lead-Acid）
镉镍电池：NiCd（Nickel-Cadmium）
锌空气电池：Zn-Air（Zinc-Air）",正极材料（占比45%）,的地方，是电池产生电能的重要部分。正极材料是构成电池正极的材料，通常由化合物或复合材料组成。不同类型的电池，使用的正极材料也会有所不同。
25,2,电池芯,负极材料（15%）,电池负极、石墨、金属锂、锂钛酸、铅、锌,"石墨：Graphite
金属锂：Lithium metal
锂钛酸：Lithium titanium oxide (LTO)
铅：Lead
锌：Zinc",负极材料（15%）,在电池中，负极是指电池的电极，它是电池中发生氧化还原反应的地方，是电池产生电能的重要部分。负极材料是构成电池负极的材料，通常由金属或碳素材料组成。不同类型的电池，使用的负极材料也会有所不同。
26,2,电池芯,隔膜材料（15%）,隔膜材料、聚丙烯、聚乙烯醇、聚氟乙烯、陶瓷隔膜,分隔膜、电池隔离膜、电解质隔膜、膜隔板,隔膜材料（15%）,隔膜是电池中防止正、负极之间短路的重要组成部分，它能够让离子通过，但同时又阻止了电子的流动，从而实现了正负极之间的电隔离。隔膜材料通常应具有良好的离子导电性、化学稳定性和机械强度等特性，以保证电池的性能和安全性。
27,2,电池芯,电解液（15%）,离子化合物、电荷载体、催化剂、电解质、冷却剂,电池液、电池液体、电池溶液、电池液剂、离子液体、离子溶液,电解液（15%）,电解液是电池中的一种重要组成部分，它通常是由溶解在溶剂中的离子化合物组成的。电解液的主要作用是提供电荷载体，使得电池内部能够形成电荷的流动。在一些化学反应中，电解液还可以扮演催化剂、电解质和冷却剂的角色。不同种类的电池需要使用不同类型的电解液，例如铅酸电池、镍镉电池和锂离子电池等。
28,2,储能系统,电池管理系统,BMS、电池控制系统、电池状态监测,电池管理单元（BMU）、电池管理器（Battery Manager）、电池控制器（Battery Controller）或电池保护板（Battery Protection Board）,电池管理系统,电池管理系统（Battery Management System，简称BMS）是一种电子控制系统，通常用于管理可充电电池的充电和放电过程，并监测电池的状态。BMS通常包括电池状态监测、电池充电平衡、电池温度监测、电池过充和过放保护等功能，可以提高电池的使用寿命和安全性能。BMS广泛应用于电动汽车、电动工具、储能系统和太阳能等领域。
29,2,储能系统,能量管理系统,EMS、能量监控、能源优化,能源管理系统、建筑能源管理系统、工厂能源管理系统、车载能源管理系统、城市能源管理系统、电力负荷管理系统、智能能源管理系统,能量管理系统,能量管理系统（Energy Management System，简称EMS）是一种用于监控、控制和优化能源使用的系统。它可以整合多种能源资源，如电力、燃气、水和蒸汽等，以实现能源的高效利用和节能减排。EMS可以帮助用户了解能源消耗的情况，制定节能措施和计划，以及优化能源的供应和使用，从而降低能源成本、提高能源利用效率和减少对环境的影响。EMS被广泛应用于建筑物、工厂、运输、城市基础设施和智能家居等领域。
30,2,储能系统,储能逆变器,能量存储和释放、电力调节,"储能变流器（Energy Storage Converter）
储能控制器（Energy Storage Controller）
储能电站逆变器（Energy Storage Power Station Inverter）
储能逆变控制器（Energy Storage Inverter Controller）
储能逆变电源（Energy Storage Inverter Power Supply）
储能电源逆变器（Energy Storage Power Inverter）
储能逆变器组件（Energy Storage Inverter Assembly）",储能逆变器,储能逆变器（Energy Storage Inverter）是一种将储能系统所储存的电能转换为交流电能供应给电网或负载的设备。储能逆变器主要由直流-交流变换器、控制器和保护系统等组成。在储能系统中，储能逆变器可以起到调节电能储存和释放的作用，使得储能系统的能量利用效率更高、稳定性更好，同时也可以对接并网和对外供电，满足用户的电力需求和电网对电力调节的需求。储能逆变器被广泛应用于太阳能光伏发电、风能发电、蓄电池储能等领域。
31,2,结构件10%,壳体,电子外壳,外壳、机箱、外壳罩、机壳、产品外壳、设备外壳,壳体,壳体是指电子产品、机械设备或其他物品的外壳或外壳部分，主要起到保护内部元器件、防止外部物体进入、固定和美化产品等作用。壳体通常由金属、塑料、玻璃、陶瓷等材料制成，形状、大小、颜色等也因产品不同而异。
32,2,结构件10%,塑料膜,聚乙烯膜、聚丙烯膜、聚酯膜、聚氯乙烯膜,"PE膜：聚乙烯薄膜、聚乙烯塑料膜、聚乙烯包装膜等；
PP膜：聚丙烯薄膜、聚丙烯塑料膜、聚丙烯包装膜等；
PVC膜：聚氯乙烯薄膜、聚氯乙烯塑料膜、聚氯乙烯包装膜等；
PET膜：聚酯薄膜、聚酯塑料膜、聚酯包装膜等；
POF膜：聚乙烯热收缩膜、聚丙烯热收缩膜、热收缩包装膜等。",塑料膜,塑料膜是一种由塑料制成的薄膜状材料，通常用于包装、覆盖、保护、隔离等用途。塑料膜具有轻便、柔韧、防水、耐磨、透明等特点，广泛应用于食品、医药、日化、电子、建筑等各个领域。
33,2,结构件10%,盖板,密封板、隔离板、分离板,覆盖板、封面、盖子、盖板板、覆盖膜、覆盖片,盖板,盖板是指用于覆盖或封闭物体表面的板状物件，常用于保护物体内部，使其免受外部物质的污染、损伤等影响。在工业制造中，盖板也可以用于密封、隔离、分离等功能。常见的盖板材料有金属、塑料、橡胶、木材等。
34,2,按照功能分,动力电池,锂离子电池、钴酸锂电池、三元材料电池,电动汽车电池、电动车电池、电动车动力电池、动力储能电池,动力电池,动力电池是一种高性能、高安全性、高能量密度的电池，通常用于电动车、混合动力车、无人机等需要高能量密度、长续航时间和高功率输出的应用场景。与普通电池相比，动力电池的电化学性能更加稳定、循环寿命更长，同时具有更高的充电速度和放电功率。常见的动力电池包括锂离子电池、钴酸锂电池、三元材料电池等。
35,2,按照功能分,储能电池,储存电能、铅酸电池、锂离子电池、钠硫电池,"储能系统电池
储能装置电池
储能储电池
储电电池
储存电池",储能电池,储能电池通常指用于储能系统中的电池，以储存电力以备不时之需。其主要功能是储存电能，以便在需要时释放电能。常见的储能电池有铅酸电池、锂离子电池、钠硫电池等。
36,2,按照功能分,消费电子电池,"锂离子电池
镍氢电池
镍镉电池
碱性电池
二氧化锰电池
银氧化镉电池
锌锰干电池
锌碳电池
钠-硫电池
太阳能电池等。","干电池
碱性电池
镍氢电池
锂离子电池
镉镍电池
锂聚合物电池
铅酸电池
氧化汞电池
氧化银电池
锂电池
镍镉电池
镍锂电池
锌锰干电池
镍锰干电池
镍锂锰酸锂电池
镍锂钴酸锂电池
镍钴铝酸锂电池
镍钴锰酸锂电池
聚合物锂离子电池",消费电子电池,消费电子电池一般指用于消费电子产品的电池
37,2,按照材料分,锰酸锂电池,锰酸锂、锰酸锂电池,锰电池、LiMnO2电池、一次性碱性电池,锰酸锂电池,锰酸锂电池是一种充放电次数较多、容量相对较小的二次电池，其正极材料为锰酸锂（LiMn2O4），负极材料为石墨，电解液通常为碳酸盐溶液。锰酸锂电池具有体积小、重量轻、能量密度高、充电效率高、无污染等特点，广泛应用于移动电源、笔记本电脑、数码相机等消费电子产品中。
38,2,按照材料分,三元锂电池,锂镍钴锰氧化物电池、三元锂,三元材料电池、NMC电池、NCM电池,三元锂电池,三元锂电池是一种以锂镍钴锰氧化物作为正极材料，石墨作为负极材料，电解质为含有锂盐的有机溶液的锂离子电池。其别称包括三元材料电池、NMC电池、NCM电池等。
39,2,按照材料分,磷酸锂铁电池,磷酸铁锂电池、磷酸锂铁电池,磷酸铁锂电池、LFP电池（Lithium Iron Phosphate Battery）、Lithium Ferrophosphate Battery、LiFePO4电池,磷酸锂铁电池,磷酸铁锂电池也叫磷酸锂铁电池（LFP，Lithium Iron Phosphate），是一种典型的钴酸锂电池的替代品，具有高能量密度、长寿命、高安全性等特点，被广泛应用于电动汽车、储能系统等领域。
40,2,按照材料分,镍酸锂电池,镍酸锂电池、镍酸锂,Ni-Cd电池、镍镉电池（虽然和镍酸锂电池不同，但有时可能会被误称为镍酸锂电池）、NC电池,镍酸锂电池,镍酸锂电池是一种充电电压较高、能量密度较大的锂离子电池，其正极材料是氧化镍酸锂，负极材料是石墨或钴酸锂。常见的别称包括：Ni-Cd电池、镍镉电池（虽然和镍酸锂电池不同，但有时可能会被误称为镍酸锂电池）、NC电池等。
41,2,按照材料分,钴酸锂电池,钴基锂电池、钴酸锂电池,锂钴电池和LCO电池,钴酸锂电池,钴酸锂电池是一种以钴酸锂作为正极材料的锂离子电池，也称为钴基锂电池。
42,2,按照材料分,钛酸锂电池,钛酸锂、钛酸锂电池,钛酸锂电池（暂未查询到别称）,钛酸锂电池,钛酸锂电池是一种锂离子电池，它的正极材料是钛酸锂，负极材料是石墨，电解液是有机碳酸盐溶液。它具有高能量密度、长循环寿命、低自放电率、高安全性等优点，被广泛应用于电动汽车、储能系统、航空航天等领域。
43,3,别名,新能源汽车,电动汽车、混合动力汽车、燃料电池汽车,电动汽车、纯电动汽车、混合动力汽车、燃料电池汽车、插电式混合动力汽车,新能源汽车,新能源汽车指采用新型动力技术作为驱动力的汽车，主要包括电动汽车、混合动力汽车、燃料电池汽车等。与传统燃油汽车相比，新能源汽车具有更高的能源利用率、更低的能源消耗和更少的环境污染排放，是推动汽车产业转型升级和实现可持续发展的重要方向之一。
44,3,举例知名企业,宁德时代,,,宁德时代,
45,3,举例知名企业,比亚迪,,,比亚迪,
46,3,正极材料（占比45%）,磷酸铁锂,磷酸铁锂,锂铁磷酸、铁锂电池、LFP电池,磷酸铁锂,磷酸铁锂是一种广泛应用于储能领域的正极材料，也是一种常见的锂离子电池材料之一，具有高安全性、高能量密度、长循环寿命等特点。
47,3,正极材料（占比45%）,磷酸锰铁锂,三元材料、磷酸锰铁锂,锰铁电池、磷酸铁锰锂电池,磷酸锰铁锂,磷酸锰铁锂是一种电池材料，通常用于制造动力电池和储能电池。它也被称为三元材料，因为它由三种金属元素组成：锰、铁和磷。由于其高容量、高功率和长寿命等优点，磷酸锰铁锂电池被广泛应用于电动汽车、混合动力汽车和储能系统等领域。
48,3,正极材料（占比45%）,三元材料,锂镍锰钴氧化物（NMC）、锂镍钴铝氧化物（NCA）,NMC（Nickel Manganese Cobalt）材料、NCA（Nickel Cobalt Aluminum）材料,三元材料,三元材料是指由三种金属元素组成的材料，常用于制造锂离子电池的正极材料。常见的三元材料包括锂镍锰钴氧化物（NMC）、锂镍钴铝氧化物（NCA）等。这些材料可以提高电池的能量密度和循环寿命，是目前新能源汽车电池中主要使用的材料之一。
49,3,正极材料（占比45%）,镍酸锂,镍酸锂,锂镍酸盐电池、LiNi电池,镍酸锂,镍酸锂是一种锂离子电池正极材料，通常用于制造动力电池、储能电池和消费电子电池等。
50,3,正极材料（占比45%）,钴酸锂,钴酸锂电池、LCO电池、锂钴氧化物电池,LiCoO2，LCO电池，钴正极，钴酸锂电池,钴酸锂,钴酸锂是一种正极材料，其化学式为LiCoO2。其别称包括钴酸锂电池、LCO电池、锂钴氧化物电池等。
51,3,正极材料（占比45%）,钛酸锂,钛酸锂、LTO电池,钛酸锂电池、LTO电池（Lithium Titanate Oxide Battery）、钛酸锂动力电池,钛酸锂,钛酸锂是一种锂离子电池正极材料，它具有较高的比能量和比功率，被广泛用于电动汽车、无人机、储能系统等领域。其别称包括锂钛酸、LTO（Lithium Titanate Oxide）等。
52,3,负极材料（15%）,石墨,六方密堆积、电极、电池、石墨,黑铅、石墨烯（graphene）、石墨质材料,石墨,石墨是一种天然的矿物质，由碳元素构成，属于同素异形体之一，是一种六方密堆积的结晶形态。石墨是一种良好的导电材料，常用于制造铅笔芯、电极、电池、涂料、陶瓷等。
53,3,负极材料（15%）,硅材料,硅元素、半导体、太阳能电池板,硅片、硅晶片、硅元件、硅单晶、硅多晶、硅薄膜,硅材料,硅材料是指以硅元素为主要组成成分的材料。硅是地壳中含量最多的非金属元素之一，具有广泛的应用领域，例如半导体工业、太阳能电池板、玻璃、建筑等等。
54,3,隔膜材料（15%）,聚乙烯,低密度聚乙烯（LDPE）、高密度聚乙烯（HDPE）和线性低密度聚乙烯（LLDPE）,"PE
聚乙烯树脂
聚乙烯塑料
聚乙烯薄膜
聚乙烯泡沫
聚乙烯管道
LDPE (低密度聚乙烯)
HDPE (高密度聚乙烯)
LLDPE (线性低密度聚乙烯)
VLDPE (超低密度聚乙烯)",聚乙烯,聚乙烯是一种聚合物材料，是以乙烯为单体聚合而成的高分子化合物。其化学式为 (C2H4)n，其中 n 为高分子量，可以通过调整聚合反应条件得到不同的分子量和性能。聚乙烯通常分为低密度聚乙烯（LDPE）、高密度聚乙烯（HDPE）和线性低密度聚乙烯（LLDPE）等多种类型。
55,3,隔膜材料（15%）,聚丙烯,热塑性树脂、塑料、热塑性聚合物,PP,聚丙烯,聚丙烯（Polypropylene，简称PP）是一种热塑性树脂，具有优异的物理和化学性质。它是目前世界上应用最为广泛的塑料之一，主要用于制造各种塑料制品。在日常生活中，聚丙烯制品广泛应用于食品包装、医疗器械、烟草制品、文具用品、汽车零部件、纺织品等领域。
56,3,电解液（15%）,锂盐,氢氧化锂、碳酸锂、氯化锂、硝酸锂,"氯化锂：氯化亚锂，氯化二锂，二氯化锂；
碳酸锂：碳酸亚锂，碳酸二锂；
硫酸锂：硫酸亚锂，硫酸二锂；
氢氧化锂：氢氧化亚锂，氢氧化二锂；
甲酸锂：甲酸亚锂，甲酸二锂；
硝酸锂：硝酸亚锂，硝酸二锂。",锂盐,锂盐是指含锂的无机盐，主要用于锂离子电池、玻璃、陶瓷、铸造、降低熔点、增加硬度等领域。常见的锂盐有：氢氧化锂、碳酸锂、氯化锂、硝酸锂等。
57,3,电解液（15%）,有机溶剂,乙醇、甲醇、丙酮、二甲苯、氯仿,有机溶剂剂或溶剂,有机溶剂,有机溶剂是指可用于溶解或分散有机物质的化学物质。常见的有机溶剂有乙醇、甲醇、丙酮、二甲苯、氯仿等。
58,3,电解液（15%）,硫酸,强腐蚀酸、硫酸,"硫酸(VI)
硫酸酐
硫酸化合物
硫酸水合物
精制硫酸
沉淀硫酸
稀硫酸
浓硫酸
电池液
阴极电解液",硫酸,硫酸是一种无机酸，化学式为H2SO4，分子量为98.08 g/mol。它是一种无色、有强烈腐蚀性的液体，在工业上广泛用于化学反应和其他用途。
59,3,壳体,钢壳,食品罐头壳、化工品桶、机械设备外壳,"钢制外壳
钢壳体
钢壳箱
钢壳结构
钢质外壳
钢制保护壳
钢铁外壳
钢板外壳
钢制封装",钢壳,钢壳通常是指由钢铁材料制成的外壳，常用于包装、运输和存储物品等领域。例如，食品罐头、化工品桶、机械设备外壳等都可以是钢壳制成的。
60,3,壳体,铝壳,铝盒、铝罐、铝容器,铝合金外壳、铝金属外壳,铝壳,铝壳是指以铝合金材料制成的外壳，常用于包装和保护各种物品。常见的铝壳别称包括铝盒、铝罐、铝容器等。铝壳通常具有轻便、耐腐蚀、防潮、密封性好等特点，广泛应用于食品、饮料、化妆品、药品、电子产品等行业。
61,3,壳体,铝塑膜,铝箔膜、塑料薄膜,铝箔、铝片、铝膜,铝塑膜,铝塑膜是一种由铝箔和塑料薄膜复合而成的材料，常用于包装行业中的食品、医药、化妆品等产品的包装。
62,3,动力电池,恩捷股份,,,恩捷股份,
63,3,动力电池,容百科技,,,容百科技,
64,3,动力电池,杉杉股份,,,杉杉股份,
65,3,动力电池,贝特瑞,,,贝特瑞,
